timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773808844812,2955,HTTP Request,200,OK,Thread Group 1-22,text,true,,97810,272,40,40,https://karaokeivan.com/index.php/login/,311,0,158
1773808844812,311,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,1220,136,40,40,http://karaokeivan.com/index.php/login/,311,0,158
1773808845123,2644,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,96590,136,40,40,https://karaokeivan.com/index.php/login/,2253,0,318
1773808845113,2868,HTTP Request,200,OK,Thread Group 1-25,text,true,,97810,272,41,41,https://karaokeivan.com/index.php/login/,338,0,167
1773808845113,338,HTTP Request-0,301,Moved Permanently,Thread Group 1-25,text,true,,1220,136,41,41,http://karaokeivan.com/index.php/login/,338,0,167
1773808845451,2530,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,96590,136,41,41,https://karaokeivan.com/index.php/login/,2143,0,338
1773808845719,2421,HTTP Request,200,OK,Thread Group 1-31,text,true,,97811,272,42,42,https://karaokeivan.com/index.php/login/,316,0,155
1773808845719,316,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,1220,136,42,42,http://karaokeivan.com/index.php/login/,316,0,155
1773808846036,2104,HTTP Request-1,200,OK,Thread Group 1-31,text,true,,96591,136,42,42,https://karaokeivan.com/index.php/login/,1675,0,359
1773808843413,4875,HTTP Request,200,OK,Thread Group 1-8,text,true,,97811,272,42,42,https://karaokeivan.com/index.php/login/,339,0,157
1773808843413,339,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,1221,136,42,42,http://karaokeivan.com/index.php/login/,339,0,157
1773808843753,4535,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,96590,136,42,42,https://karaokeivan.com/index.php/login/,4137,0,330
1773808845016,3325,HTTP Request,200,OK,Thread Group 1-24,text,true,,97810,272,42,42,https://karaokeivan.com/index.php/login/,308,0,152
1773808845016,308,HTTP Request-0,301,Moved Permanently,Thread Group 1-24,text,true,,1220,136,42,42,http://karaokeivan.com/index.php/login/,308,0,152
1773808845325,3016,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,96590,136,42,42,https://karaokeivan.com/index.php/login/,2648,0,343
1773808846210,2341,HTTP Request,200,OK,Thread Group 1-36,text,true,,97810,272,43,43,https://karaokeivan.com/index.php/login/,318,0,156
1773808846210,318,HTTP Request-0,301,Moved Permanently,Thread Group 1-36,text,true,,1220,136,43,43,http://karaokeivan.com/index.php/login/,318,0,156
1773808846530,2021,HTTP Request-1,200,OK,Thread Group 1-36,text,true,,96590,136,43,43,https://karaokeivan.com/index.php/login/,1638,0,331
1773808845221,3394,HTTP Request,200,OK,Thread Group 1-26,text,true,,97812,272,43,43,https://karaokeivan.com/index.php/login/,310,0,158
1773808845221,310,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,1221,136,43,43,http://karaokeivan.com/index.php/login/,310,0,158
1773808845532,3083,HTTP Request-1,200,OK,Thread Group 1-26,text,true,,96591,136,43,43,https://karaokeivan.com/index.php/login/,2669,0,355
1773808846415,2427,HTTP Request,200,OK,Thread Group 1-38,text,true,,97810,272,44,44,https://karaokeivan.com/index.php/login/,313,0,155
1773808846415,314,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,1220,136,44,44,http://karaokeivan.com/index.php/login/,313,0,155
1773808846730,2112,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,96590,136,44,44,https://karaokeivan.com/index.php/login/,1691,0,371
1773808845519,3396,HTTP Request,200,OK,Thread Group 1-29,text,true,,97810,272,44,44,https://karaokeivan.com/index.php/login/,346,0,174
1773808845519,346,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,1220,136,44,44,http://karaokeivan.com/index.php/login/,346,0,174
1773808845866,3049,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,96590,136,44,44,https://karaokeivan.com/index.php/login/,2668,0,333
1773808846717,2425,HTTP Request,200,OK,Thread Group 1-41,text,true,,97817,272,45,45,https://karaokeivan.com/index.php/login/,322,0,163
1773808846717,322,HTTP Request-0,301,Moved Permanently,Thread Group 1-41,text,true,,1220,136,45,45,http://karaokeivan.com/index.php/login/,322,0,163
1773808847040,2102,HTTP Request-1,200,OK,Thread Group 1-41,text,true,,96597,136,45,45,https://karaokeivan.com/index.php/login/,1512,0,357
1773808847204,1956,HTTP Request,200,OK,Thread Group 1-46,text,true,,97811,272,44,44,https://karaokeivan.com/index.php/login/,347,0,169
1773808847204,347,HTTP Request-0,301,Moved Permanently,Thread Group 1-46,text,true,,1220,136,44,44,http://karaokeivan.com/index.php/login/,347,0,169
1773808847552,1608,HTTP Request-1,200,OK,Thread Group 1-46,text,true,,96591,136,44,44,https://karaokeivan.com/index.php/login/,1178,0,355
1773808847504,1882,HTTP Request,200,OK,Thread Group 1-49,text,true,,97817,272,45,45,https://karaokeivan.com/index.php/login/,309,0,158
1773808847504,309,HTTP Request-0,301,Moved Permanently,Thread Group 1-49,text,true,,1220,136,45,45,http://karaokeivan.com/index.php/login/,309,0,158
1773808847813,1573,HTTP Request-1,200,OK,Thread Group 1-49,text,true,,96597,136,45,45,https://karaokeivan.com/index.php/login/,1012,0,359
1773808847107,2440,HTTP Request,200,OK,Thread Group 1-45,text,true,,97818,272,46,46,https://karaokeivan.com/index.php/login/,348,0,174
1773808847107,348,HTTP Request-0,301,Moved Permanently,Thread Group 1-45,text,true,,1221,136,46,46,http://karaokeivan.com/index.php/login/,348,0,174
1773808847456,2091,HTTP Request-1,200,OK,Thread Group 1-45,text,true,,96597,136,46,46,https://karaokeivan.com/index.php/login/,1515,0,355
1773808845811,3853,HTTP Request,200,OK,Thread Group 1-32,text,true,,97811,272,46,46,https://karaokeivan.com/index.php/login/,327,0,162
1773808845811,327,HTTP Request-0,301,Moved Permanently,Thread Group 1-32,text,true,,1220,136,46,46,http://karaokeivan.com/index.php/login/,327,0,162
